;Router 1;Router 2;Router 3;Router 4;Router 5;Router 6;Router 7;Router 8;Router 9;Router 10;Router 11;Router 12;Router 13;Router 14;Router 15;Router 16;Router 17;Router 18;Router 19;Router 20;Router 21;Router 22;Router 23;Router 24;Router 25;Router 26;Router 27;Router 28;Router 29;Router 30;Router 31;Router 32;Router 33;Router 34;Router 35;Router 36;Router 37;Router 38;Router 39;Router 40;Router 41
Router 1;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Router 2;;;420,000;236,000;20,000;35,000;168,000;9,000;391,000;10,000;11,000;0,000;11,000;153,000;3,000;2,000;13,000;109,000;174,000;127,000;157,000;123,000;122,000;127,000;309,000;559,000;2,000;3729,000;59,000;1107,000;19,000;14,000;0,000;134,000;2738,000;512,000;453,000;0,000;0,000;0,000;0,000
Router 3;;;;89,000;5250,000;3204,000;8126,000;7097,000;628,000;1587,000;1571,000;876,000;983,000;7095,000;2908,000;333,000;2170,000;10479,000;6997,000;5792,000;8498,000;5491,000;5458,000;1459,000;6231,000;7351,000;3253,000;3761,000;1255,000;420,000;2348,000;480,000;587,000;4692,000;20159,000;5743,000;5196,000;0,000;0,000;6215,000;0,000
Router 4;;;;;0,000;0,000;0,000;0,000;44,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;2,000;0,000;0,000;1,000;0,000;0,000;0,000;150,000;11,000;1,000;0,000;0,000;6,000;0,000;0,000;0,000;13,000;68,000;6,000;5,000;0,000;0,000;0,000;0,000
Router 5;;;;;;0,000;0,000;0,000;0,000;0,000;32,000;6,000;48,000;111,000;19,000;4,000;37,000;191,000;848,000;42,000;343,000;62,000;42,000;77,000;194,000;838,000;175,000;2,000;0,000;20,000;54,000;42,000;127,000;731,000;1375,000;761,000;272,000;0,000;0,000;194,000;0,000
Router 6;;;;;;;4933,000;0,000;787,000;0,000;25,000;127,000;51,000;128,000;122,000;9,000;42,000;482,000;394,000;46,000;249,000;263,000;146,000;22,000;230,000;231,000;87,000;9,000;1,000;35,000;20,000;36,000;55,000;494,000;2024,000;895,000;94,000;0,000;0,000;230,000;0,000
Router 7;;;;;;;;0,000;3495,000;1,000;60,000;2156,000;525,000;1236,000;281,000;19,000;5099,000;3310,000;4013,000;395,000;2031,000;1823,000;1453,000;133,000;1569,000;238,000;556,000;20,000;8,000;168,000;738,000;211,000;776,000;1276,000;4910,000;1851,000;382,000;0,000;0,000;1569,000;0,000
Router 8;;;;;;;;;6927,000;0,000;186,000;418,000;443,000;1321,000;1624,000;45,000;563,000;1303,000;1314,000;222,000;1701,000;1781,000;989,000;240,000;463,000;34,000;120,000;0,000;0,000;9,000;566,000;170,000;107,000;438,000;1812,000;164,000;1295,000;0,000;0,000;463,000;0,000
Router 9;;;;;;;;;;567,000;2475,000;788,000;1737,000;4032,000;57,000;3,000;2245,000;247,000;5020,000;1233,000;9631,000;3677,000;2758,000;1547,000;44,000;12,000;2724,000;38,000;1,000;391,000;27,000;932,000;1779,000;5933,000;441,000;38,000;46,000;0,000;0,000;0,000;0,000
Router 10;;;;;;;;;;;0,000;6,000;0,000;5,000;1,000;0,000;2,000;93,000;80,000;3,000;101,000;2,000;0,000;14,000;16,000;913,000;91,000;2,000;0,000;10,000;31,000;0,000;12,000;325,000;418,000;319,000;112,000;0,000;0,000;16,000;0,000
